battery_id,cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,RUL
B5,1,1.4401469105335598,4.254681794931815,23.988732759361305,1.8944067804236482,3.2735225424933536,32.9808341919489,1.986195795996793,99.30978979983965,219
B5,2,1.4165945775339113,4.159824804449164,25.665347317603665,1.8299494970638277,4.038740624421725,32.25792017891891,1.9862397074872091,99.31198537436046,218
B5,3,1.4202715381739819,4.276322905918238,25.407910461384986,1.9421053549594205,3.214432808014634,35.134800643918496,1.9842521628299414,99.21260814149707,217
B5,4,1.3376796067819676,4.236696540948332,27.069756736047815,2.073577373629803,3.134528537689259,32.08298809068683,1.9692362357516822,98.46181178758411,216
B5,5,1.2639457007821797,4.1427914538091235,26.478353387313494,2.0498849032006152,3.7293413670541735,32.483154407141775,1.9748621242615945,98.74310621307973,215
B5,6,1.509147537161231,4.146696396062941,26.4836473979087,2.0464330786647866,2.9739163378996336,35.17235863593304,1.9762989295669473,98.81494647834737,214
B5,7,1.3748132833559699,4.222430023579008,25.977103555972406,1.9707872697374351,3.5490989829317576,33.23022725411302,1.9656976901358378,98.2848845067919,213
B5,8,1.4275827958681793,4.1865809576204365,27.246253376971563,1.8904627329018617,3.5183972240366046,34.42750916223592,1.9591594048380934,97.95797024190466,212
B5,9,1.5715977250441544,4.186082667455942,28.165409783532816,1.8347594758110328,3.80219844970004,32.18705346689705,1.9575073099467737,97.87536549733869,211
B5,10,1.2826320423429967,4.18654272823651,28.467759003156075,1.9664982487356109,3.9017166394587863,33.57466058749246,1.951182097237045,97.55910486185225,210
B5,11,1.5159737724141937,4.197220996829981,27.190330710948842,1.9835742714912148,3.726270141200186,28.619731133118187,1.9398114524953776,96.99057262476887,209
B5,12,1.5214232772046856,4.204862132365643,28.401882467287145,1.8885074334315264,3.9569039702359916,32.63355759555747,1.9458331190716893,97.29165595358447,208
B5,13,1.3474639605550092,4.167728298937083,24.334585934747153,1.8547183027009546,4.191591826352628,33.50087905745422,1.9383533977456795,96.91766988728398,207
B5,14,1.4410438228339402,4.203974049302859,24.252692225425662,1.975348933569705,3.366318625638146,30.69706218598786,1.9339836360923406,96.69918180461703,206
B5,15,1.338650898969469,4.177468122177361,27.468265481794823,2.095790834710313,3.931979475432772,35.7622062211527,1.9290872626339564,96.45436313169782,205
B5,16,1.5494441200219173,4.180243537171988,26.609922324682255,2.0584338724324676,3.580295879985091,29.770934381793356,1.9222265853240998,96.11132926620499,204
B5,17,1.358166583749068,4.212071274592871,27.05896248623431,1.9509866774036684,3.8072056213002847,31.79556441920779,1.9165565675916008,95.82782837958004,203
B5,18,1.326797612450857,4.186073803890466,26.67939772382858,1.894448368662486,3.572291284446168,31.633623908464592,1.9117605678558456,95.58802839279228,202
B5,19,1.5685604375391793,4.1381437411296425,27.271251336255766,1.9908818710796428,4.179809935685908,26.84845729641802,1.9073638008313838,95.36819004156919,201
B5,20,1.426717598795002,4.206902543045059,27.83236146064772,2.0019980609192207,4.028407870811173,31.44353300800732,1.899663203121699,94.98316015608495,200
B5,21,1.45330122268637,4.198300293261579,25.35942499338097,1.8970148341497868,4.023047708522617,36.12104512172368,1.8924717619037066,94.62358809518533,199
B5,22,1.3235754482012858,4.196091040535622,25.691454773019846,1.9191224014677082,4.190725907536551,32.89522805906718,1.8878543960741478,94.3927198037074,198
B5,23,1.4005280934779445,4.14353429772579,26.37948252617109,2.0314058149866274,3.5956982598480542,33.19798325355427,1.885954582127164,94.29772910635819,197
B5,24,1.5105092315862838,4.187590693243427,27.96720811522221,2.1716882187190394,3.4919894260003037,31.512481662098388,1.8836367253907071,94.18183626953535,196
B5,25,1.533072560017434,4.273612828838117,28.495013269502618,1.9335541616877767,3.5771349268455896,34.83228892495459,1.8783020419890513,93.91510209945257,195
B5,26,1.4889763851962912,4.259123223899659,29.29586847968054,2.0122766176034923,3.519909586726539,33.05639319351254,1.8690386029237387,93.45193014618694,194
