battery_id,cycle,chI,chV,chT,disI,disV,disT,BCt,SOH,RUL,heat_gen,avg_heat_gen,deltaT,stress,cumulative_stress
B5,1,1.4401469105335598,4.254681794931815,23.988732759361305,1.894406780423648,3.2735225424933536,32.9808341919489,1.986195795996793,99.30978979983963,219,0.9440048919746179,0.9440048919746179,2.311431459395248,165102.2470996606,165102.2470996606
B5,2,1.4165945775339113,4.159824804449164,25.665347317603665,1.829949497063828,4.038740624421725,32.25792017891891,1.986239707487209,99.31198537436046,218,0.7918571383951698,0.8679310151848938,1.9388919661260668,138492.2832947191,303594.5303943797
B5,3,1.420271538173982,4.276322905918238,25.407910461384983,1.9421053549594205,3.214432808014634,35.134800643918496,1.9842521628299412,99.21260814149709,217,0.9597370070236907,0.8985330124644927,2.3499521344006378,167853.7238857599,471448.2542801396
B5,4,1.3376796067819676,4.236696540948332,27.06975673604781,2.073577373629803,3.134528537689259,32.08298809068683,1.9692362357516824,98.46181178758412,216,0.8431850889850315,0.8846960315946275,2.0645703823591908,147469.3130256565,618917.5673057961
B5,5,1.2639457007821795,4.142791453809124,26.478353387313494,2.0498849032006152,3.7293413670541735,32.483154407141775,1.9748621242615945,98.74310621307971,215,0.6714934658019364,0.8420555184360893,1.644176989789027,117441.21355635909,736358.7808621551
B5,6,1.509147537161231,4.146696396062941,26.4836473979087,2.046433078664786,2.9739163378996336,35.17235863593304,1.9762989295669475,98.81494647834737,214,0.8335576062015717,0.8406391997303363,2.040997128905041,145785.50920750294,882144.2900696581
B5,7,1.37481328335597,4.222430023579008,25.97710355597241,1.9707872697374351,3.5490989829317576,33.23022725411302,1.9656976901358376,98.2848845067919,213,0.8505515455268345,0.8420552491298361,2.082607428077646,148757.6734341176,1030901.9635037757
B5,8,1.4275827958681793,4.1865809576204365,27.246253376971563,1.8904627329018615,3.5183972240366046,34.42750916223592,1.9591594048380931,97.95797024190466,212,0.837294088630115,0.8268108486520499,2.0501460465708665,146439.0033264905,1177340.9668302662
B5,9,1.5715977250441544,4.186082667455942,28.165409783532816,1.8347594758110328,3.80219844970004,32.18705346689705,1.9575073099467737,97.87536549733868,211,0.9368207730126296,0.8475199393116871,2.2938408740943146,163845.7767210225,1341186.7435512887
B5,10,1.2826320423429969,4.18654272823651,28.467759003156075,1.9664982487356109,3.9017166394587854,33.57466058749246,1.951182097237045,97.55910486185223,210,0.7392154401282766,0.816016858326628,1.8099967893271725,129285.48495194092,1470472.2285032296
B5,11,1.5159737724141935,4.197220996829981,27.19033071094884,1.9835742714912148,3.726270141200186,28.619731133118187,1.9398114524953776,96.99057262476887,209,0.9146463437932322,0.8262256090135136,2.239545950701877,159967.56790727697,1630439.7964105066
B5,12,1.5214232772046856,4.204862132365643,28.401882467287145,1.8885074334315264,3.956903970235992,32.63355759555747,1.945833119071689,97.29165595358448,208,0.9301400151496996,0.8631751160631941,2.277482787363771,162677.3419545551,1793117.1383650617
B5,13,1.3474639605550092,4.167728298937083,24.334585934747157,1.8547183027009544,4.191591826352628,33.50087905745422,1.9383533977456795,96.91766988728398,207,0.7573431648990407,0.8522873387342612,1.8543832047775803,132455.94319839863,1925573.0815634604
B5,14,1.4410438228339402,4.203974049302859,24.252692225425665,1.975348933569705,3.366318625638146,30.69706218598786,1.9339836360923408,96.69918180461704,206,0.8716112015694426,0.8552958610260623,2.134172787446818,152440.91338905846,2078013.994952519
B5,15,1.338650898969469,4.177468122177361,27.468265481794823,2.095790834710313,3.931979475432772,35.7622062211527,1.9290872626339564,96.45436313169782,205,0.7646021670338118,0.844911300798019,1.8721571443416334,133725.5103101167,2211739.5052626356
B5,16,1.5494441200219171,4.180243537171988,26.609922324682252,2.058433872432468,3.580295879985091,29.77093438179336,1.9222265853241,96.111329266205,204,0.9121649205245976,0.8413890361568716,2.233470092561778,159533.57804012703,2371273.083302763
